iter	Logloss_SumError	Logloss_SumWeight
0	17351.65195	32769
1	13746.69761	32769
2	11482.15057	32769
3	9923.866945	32769
4	9008.047243	32769
5	7971.516036	32769
6	7243.876784	32769
7	6577.462356	32769
8	6003.509625	32769
9	5579.269491	32769
10	5250.294296	32769
11	4967.190773	32769
12	4763.480699	32769
13	4575.91831	32769
14	4201.86912	32769
15	4066.210601	32769
16	3965.307948	32769
17	3811.663573	32769
18	3629.455054	32769
19	3490.622259	32769
20	3394.253033	32769
21	3293.974091	32769
22	3146.081434	32769
23	3056.140465	32769
24	3013.129185	32769
25	2977.814364	32769
26	2939.933277	32769
27	2923.459077	32769
28	2895.089042	32769
29	2869.394334	32769
30	2826.41267	32769
31	2788.895684	32769
32	2784.1128	32769
33	2745.839458	32769
34	2736.51871	32769
35	2720.966137	32769
36	2692.36243	32769
37	2625.41424	32769
38	2610.344257	32769
39	2530.023105	32769
40	2483.805726	32769
41	2485.982567	32769
42	2482.40931	32769
43	2432.422173	32769
44	2433.10665	32769
45	2431.153822	32769
46	2417.565278	32769
47	2352.950124	32769
48	2352.736049	32769
49	2353.611739	32769
50	2353.115503	32769
51	2306.531136	32769
52	2307.451471	32769
53	2296.740913	32769
54	2289.238121	32769
55	2283.109652	32769
56	2283.110975	32769
57	2281.357843	32769
58	2278.515803	32769
59	2270.916998	32769
60	2268.454364	32769
61	2261.703627	32769
62	2238.664538	32769
63	2213.767541	32769
64	2215.766105	32769
65	2215.500962	32769
66	2213.509566	32769
67	2212.820378	32769
68	2213.603299	32769
69	2212.697835	32769
70	2198.064039	32769
71	2194.808507	32769
72	2185.443778	32769
73	2186.994551	32769
74	2187.090477	32769
75	2183.928127	32769
76	2181.555309	32769
77	2182.665897	32769
78	2190.086815	32769
79	2183.959256	32769
80	2184.009263	32769
81	2187.828736	32769
82	2188.130094	32769
83	2192.904395	32769
84	2195.389247	32769
85	2194.61991	32769
86	2194.153042	32769
87	2195.62227	32769
88	2187.985581	32769
89	2188.022626	32769
90	2163.969064	32769
91	2163.578567	32769
92	2147.013026	32769
93	2147.890351	32769
94	2146.780305	32769
95	2145.787502	32769
96	2137.098838	32769
97	2137.601974	32769
98	2135.340803	32769
99	2128.701337	32769
100	2128.123383	32769
101	2127.195643	32769
102	2124.58018	32769
103	2125.168478	32769
104	2126.476268	32769
105	2135.736301	32769
106	2132.403702	32769
107	2120.701774	32769
108	2121.016539	32769
109	2126.745149	32769
110	2122.324641	32769
111	2119.810806	32769
112	2119.976855	32769
113	2118.3729	32769
114	2118.003687	32769
115	2118.974794	32769
116	2118.441377	32769
117	2115.296028	32769
118	2114.837113	32769
119	2112.778644	32769
120	2109.101631	32769
121	2109.20484	32769
122	2108.022819	32769
123	2107.622344	32769
124	2107.453967	32769
125	2109.883195	32769
126	2109.293086	32769
127	2108.377196	32769
128	2109.665459	32769
129	2110.087759	32769
130	2103.953346	32769
131	2103.53999	32769
132	2100.426082	32769
133	2101.12955	32769
134	2096.965756	32769
135	2102.795895	32769
136	2100.607765	32769
137	2100.329314	32769
138	2099.305473	32769
139	2098.311566	32769
140	2099.969274	32769
