iter	Passed	Remaining
0	25	51325
1	62	62669
2	103	68596
3	128	63918
4	147	59015
5	195	65103
6	244	69617
7	288	71774
8	363	80487
9	404	80580
10	458	82852
11	504	83497
12	566	86646
13	611	86752
14	666	88146
15	743	92205
16	813	94877
17	910	100308
18	979	102108
19	1044	103405
20	1085	102341
21	1142	102761
22	1200	103213
23	1243	102384
24	1288	101793
25	1351	102573
26	1390	101629
27	1432	100906
28	1478	100474
29	1561	102534
30	1626	103293
31	1676	103109
32	1733	103302
33	1798	104010
34	1847	103721
35	1896	103441
36	1947	103341
37	2030	104857
38	2094	105295
39	2138	104770
40	2230	106583
41	2275	106073
42	2329	106041
43	2427	107933
44	2496	108469
45	2564	108948
46	2618	108825
47	2666	108454
48	2728	108653
49	2793	108961
50	2870	109707
51	2923	109502
52	2983	109592
53	3053	110050
54	3110	109984
55	3176	110269
56	3226	109995
57	3278	109775
58	3338	109844
59	3386	109501
60	3439	109337
61	3503	109504
62	3584	110214
63	3652	110474
64	3722	110816
65	3795	111217
66	3843	110886
67	3892	110602
68	3964	110955
69	4013	110651
70	4078	110801
71	4142	110937
72	4228	111613
73	4289	111648
74	4342	111467
75	4406	111561
76	4466	111535
77	4548	112084
78	4625	112477
79	4701	112832
80	4746	112439
81	4799	112271
82	4857	112186
83	4906	111920
84	4955	111650
85	5009	111488
86	5065	111391
87	5112	111088
88	5191	111467
89	5248	111376
90	5306	111321
91	5367	111327
92	5440	111563
93	5507	111674
94	5587	112037
95	5639	111849
96	5717	112162
97	5793	112436
98	5844	112231
99	5928	112637
100	5998	112774
101	6064	112853
102	6162	113501
103	6230	113581
104	6301	113724
105	6351	113489
106	6432	113802
107	6512	114096
108	6554	113712
109	6608	113547
110	6676	113614
111	6732	113490
112	6789	113383
113	6852	113366
114	6900	113100
115	6966	113146
116	7036	113252
117	7099	113234
118	7149	113006
119	7209	112948
120	7270	112908
121	7336	112929
122	7396	112871
123	7445	112646
124	7505	112582
125	7570	112603
126	7619	112369
127	7683	112365
128	7739	112258
129	7804	112266
130	7876	112374
131	7961	112665
132	8041	112885
133	8088	112632
134	8143	112506
135	8195	112324
136	8271	112477
137	8320	112261
138	8385	112273
139	8457	112363
140	8525	112399
141	8571	112151
142	8616	111894
143	8686	111953
144	8776	112274
145	8827	112101
146	8904	112249
147	8971	112269
148	9042	112336
149	9098	112210
150	9163	112204
151	9216	112047
152	9300	112277
153	9354	112129
154	9429	112240
155	9496	112256
156	9557	112188
157	9633	112308
158	9693	112232
159	9779	112467
160	9829	112277
161	9893	112250
162	9967	112328
163	10020	112186
164	10092	112235
165	10148	112117
166	10211	112079
167	10269	111985
168	10324	111863
169	10371	111649
170	10414	111388
