iter	Logloss	Accuracy
0	0.6336451572	0.9426282663
1	0.5801549609	0.9426282663
2	0.5348922835	0.9426282663
3	0.4959777123	0.9426282663
4	0.4615318925	0.9426282663
5	0.4304568011	0.9426282663
6	0.4044219867	0.9426282663
7	0.3817413694	0.9426282663
8	0.3613340157	0.9426282663
9	0.3437029047	0.9426282663
10	0.3287290406	0.9426282663
11	0.3149303884	0.9426282663
12	0.3025526371	0.9426282663
13	0.2903789025	0.9426282663
14	0.2799448003	0.9426282663
15	0.2706062362	0.9426282663
16	0.2616927877	0.9426282663
17	0.2563904016	0.9426282663
18	0.2490576386	0.9426282663
19	0.2413861797	0.9426282663
20	0.2346352448	0.9426282663
21	0.2284107398	0.9426282663
22	0.223116395	0.9426282663
23	0.2177874154	0.9426282663
24	0.212845861	0.9426282663
25	0.2084538706	0.9426282663
26	0.2045110551	0.9426282663
27	0.2006724448	0.9426282663
28	0.1973375734	0.9426282663
29	0.1942951057	0.9426282663
30	0.1919961365	0.9426282663
31	0.1898393405	0.9426282663
32	0.1876934212	0.9426664124
33	0.1859168553	0.9427045585
34	0.1842388949	0.9427808507
35	0.1828789982	0.9429334351
36	0.1818602012	0.9430478734
37	0.1805926285	0.9436200648
38	0.1795242135	0.9443448407
39	0.1784900607	0.9448788861
40	0.177547802	0.9450314705
41	0.176837796	0.9457181003
42	0.1760411647	0.9460614152
43	0.1753364409	0.9462521457
44	0.1745468195	0.9462521457
45	0.173652254	0.9462902918
46	0.172814361	0.9464428762
47	0.1722333744	0.9462521457
48	0.1714728667	0.9461377074
49	0.1708118622	0.9462521457
50	0.1701530804	0.9462902918
51	0.1695633707	0.9465191684
52	0.1687564967	0.9467098989
53	0.1680004194	0.9467098989
54	0.1672938723	0.9468624833
55	0.1666124653	0.9469006294
56	0.1660395829	0.9473583826
57	0.1655522807	0.9475872592
58	0.1651503323	0.9481213046
59	0.1647079039	0.9485027656
60	0.1642173558	0.9488079344
61	0.1638755953	0.9488460805
62	0.1635171458	0.9488842266
63	0.1630663051	0.9491893954
64	0.1626851468	0.9492275415
65	0.162464656	0.949418272
66	0.1621013975	0.9493801259
67	0.1619273639	0.9493801259
68	0.16162775	0.9496471486
69	0.1611937612	0.9498378791
70	0.1609362872	0.9498760252
71	0.1607411142	0.9499141713
72	0.1605851308	0.9499141713
73	0.1604432999	0.9499141713
74	0.1602303064	0.950181194
75	0.1600379464	0.9502956323
76	0.1599297214	0.9502574862
77	0.1597372942	0.9502574862
78	0.1594852636	0.9504100706
79	0.1593344929	0.9504482167
80	0.159202103	0.9504100706
81	0.1590355708	0.9505245089
82	0.1588480939	0.9503719245
83	0.1586574163	0.9504482167
84	0.1585661418	0.9505245089
85	0.1584219175	0.9506008011
86	0.1582126074	0.9506389472
87	0.1580834996	0.9506770933
88	0.1579937211	0.9506770933
89	0.1578133746	0.9507533855
90	0.157683702	0.9508678238
91	0.1575995423	0.950944116
92	0.1575103296	0.9510967004
93	0.157290183	0.9510967004
94	0.1570612003	0.9512874309
95	0.1569654999	0.951325577
96	0.1566869871	0.9515163075
97	0.1565463836	0.9515925997
98	0.1564366527	0.9516307458
99	0.1562079126	0.9518596224
100	0.1561575438	0.9518977685
101	0.1559639769	0.9519740607
102	0.1558924687	0.9519740607
103	0.1556669784	0.9518596224
104	0.1555324291	0.9517833302
105	0.1553612142	0.9517451841
106	0.1552588237	0.9518977685
107	0.1551847694	0.9518214763
108	0.1551490588	0.9518214763
109	0.1550987009	0.9518977685
110	0.1549904359	0.9518596224
111	0.1548695349	0.9517833302
112	0.1547641793	0.9518977685
113	0.1546886011	0.9519740607
114	0.154623369	0.952088499
115	0.1544951657	0.9520122068
116	0.1543828424	0.9522792294
117	0.1543766936	0.9522792294
118	0.1543131955	0.9523173755
119	0.1542587923	0.9523555216
120	0.1541858735	0.9523555216
121	0.1541172297	0.9523936677
122	0.15401163	0.9524318138
123	0.1539792892	0.9523936677
124	0.1537881523	0.9524318138
125	0.1536131038	0.9523936677
126	0.1535550515	0.9523936677
127	0.1535025551	0.9524699599
128	0.1533670868	0.9524699599
129	0.1533056167	0.9524699599
130	0.1532292179	0.952508106
131	0.1531795872	0.9526225443
132	0.1531193491	0.9526225443
133	0.153014344	0.9526606904
134	0.1529339209	0.9526606904
135	0.1529073398	0.9526606904
136	0.152817028	0.9527369826
137	0.1527778296	0.9526606904
138	0.1527359124	0.9527751287
139	0.152690715	0.9527751287
140	0.1525881512	0.9528132748
141	0.1524688424	0.9528132748
142	0.1523858443	0.9528132748
143	0.1523159204	0.9529277131
144	0.1522225545	0.9530421514
145	0.1521848966	0.9530421514
146	0.15211402	0.9530802975
147	0.1520688616	0.9530802975
148	0.1520306803	0.9530421514
149	0.1519982706	0.9530802975
150	0.1519560432	0.9530421514
151	0.1518482075	0.9530421514
152	0.1518436203	0.9530040053
153	0.1517638078	0.9530421514
154	0.1517263294	0.9530802975
155	0.1516915031	0.9530421514
156	0.1516002811	0.9531184436
157	0.151554069	0.9531947358
158	0.151485093	0.9532328819
159	0.1514455214	0.9533091741
160	0.1513103385	0.9533473202
161	0.1512681165	0.9534999046
162	0.1510776964	0.9534999046
163	0.1509139253	0.9536143429
164	0.1508200835	0.9534999046
165	0.1507923503	0.9535380507
166	0.1507464096	0.953652489
167	0.1506550591	0.9535761968
168	0.1505620947	0.9536906351
169	0.1505311224	0.953652489
170	0.1504993404	0.9538432195
171	0.1504035117	0.9537287812
172	0.1503902546	0.953652489
173	0.1503440233	0.9537287812
174	0.150241426	0.9538050734
175	0.150208157	0.9537669273
176	0.1501340089	0.9537669273
177	0.1500630406	0.9538050734
178	0.1500302359	0.9538432195
179	0.1499918466	0.95403395
180	0.1499127615	0.9539958039
181	0.149869792	0.9539195117
182	0.1497939305	0.95403395
183	0.1497757021	0.9540720961
184	0.1497115872	0.9540720961
185	0.1496785695	0.9540720961
186	0.1496512768	0.9541102422
187	0.1495791961	0.9542628266
188	0.1495368194	0.9543009727
189	0.1494857353	0.9543009727
190	0.1494354223	0.9543391188
191	0.1493539277	0.9543772649
192	0.1493072585	0.954415411
193	0.1492588761	0.9544535571
194	0.1492041982	0.9545298493
195	0.1491388798	0.9544917032
196	0.1491035242	0.9545298493
197	0.1490789925	0.9545298493
198	0.1490194121	0.9544917032
199	0.1489287421	0.9546442876
200	0.1488945844	0.9546442876
201	0.1488659386	0.9546442876
202	0.1487636728	0.9547587259
203	0.1487085159	0.9548350181
204	0.1486693945	0.954796872
205	0.148648586	0.9548350181
206	0.1486040796	0.9549113103
207	0.1485347071	0.9549494564
208	0.1484971777	0.9549494564
209	0.1484571464	0.9549494564
210	0.1484019779	0.9549876025
211	0.1483449373	0.9549113103
212	0.1483257447	0.9550257486
213	0.148281232	0.9550257486
214	0.1482812292	0.9550257486
215	0.1482405377	0.9550638947
216	0.148217734	0.9550257486
217	0.1481657102	0.9549876025
218	0.1481070278	0.9551020408
219	0.1480650588	0.9551020408
220	0.1480315671	0.9552164791
221	0.1479106121	0.9553690635
222	0.1479051142	0.9553690635
223	0.1478914735	0.9554072096
224	0.147851956	0.9555216479
225	0.1477969658	0.9553690635
226	0.1477425934	0.9554835018
227	0.147684791	0.9554835018
228	0.1476384277	0.9555979401
229	0.147607934	0.955559794
230	0.1475893656	0.9555979401
231	0.147560537	0.9555979401
232	0.1474936507	0.9557123784
233	0.147458651	0.9556360862
234	0.1473961717	0.9556742323
235	0.1473668838	0.9556742323
236	0.1473229321	0.9556360862
237	0.1472202574	0.9556742323
238	0.1471604535	0.9557505245
239	0.1471026346	0.9557505245
240	0.1470758002	0.9557886706
241	0.1470570966	0.9557886706
242	0.147014266	0.9558268167
243	0.1469636291	0.9558649628
244	0.1469072273	0.9559794011
245	0.1468693999	0.9560175472
246	0.1468393623	0.9560175472
247	0.1467321028	0.9559031089
248	0.1466314327	0.9558649628
249	0.1465667764	0.9558649628
250	0.1465227342	0.9558268167
251	0.1464757599	0.9558649628
252	0.1464260366	0.955941255
253	0.1464030249	0.955941255
254	0.1463580982	0.9559794011
255	0.1462914414	0.9560175472
256	0.1462066399	0.9560938394
257	0.1461602263	0.9560175472
258	0.1461014646	0.9561319855
259	0.1460304899	0.9561319855
260	0.1459944306	0.9562082777
261	0.1459943565	0.9562082777
262	0.1459481065	0.9562464238
263	0.1459241512	0.9562845699
264	0.1458814501	0.9562845699
265	0.145786812	0.956322716
266	0.145740749	0.9564371543
267	0.1456836177	0.9563608621
268	0.1456421144	0.9564753004
269	0.1455985035	0.9564753004
270	0.1455631923	0.9564371543
271	0.1455050849	0.9564371543
272	0.1454507853	0.9563990082
273	0.1454163347	0.9564371543
274	0.1453515363	0.9563990082
275	0.1453207858	0.9563990082
