iter	Passed	Remaining
0	23	23168
1	60	30346
2	111	37200
3	154	38467
4	205	40817
5	258	42849
6	316	44928
7	365	45307
8	430	47352
9	483	47844
10	525	47280
11	571	47019
12	617	46886
13	682	48072
14	729	47871
15	792	48746
16	851	49249
17	907	49509
18	981	50685
19	1032	50600
20	1078	50287
21	1140	50686
22	1196	50836
23	1241	50471
24	1287	50213
25	1352	50667
26	1462	52697
27	1546	53702
28	1621	54284
29	1675	54185
30	1737	54301
31	1784	53975
32	1860	54514
33	1921	54579
34	1976	54508
35	2034	54476
36	2107	54863
37	2156	54584
38	2210	54462
39	2264	54359
40	2325	54382
41	2382	54352
42	2502	55697
43	2563	55690
44	2614	55478
45	2665	55277
46	2733	55422
47	2801	55565
48	2862	55554
49	2934	55763
50	2989	55636
51	3072	56009
52	3127	55885
53	3210	56249
54	3272	56234
55	3355	56566
56	3409	56407
57	3466	56307
58	3524	56213
59	3572	55975
60	3630	55880
61	3670	55530
62	3743	55671
63	3824	55929
64	3877	55774
65	3950	55909
66	4007	55812
67	4069	55782
68	4135	55801
69	4182	55572
70	4235	55414
71	4280	55165
72	4346	55194
73	4419	55302
74	4462	55032
75	4517	54920
76	4583	54936
77	4640	54849
78	4693	54720
79	4760	54748
80	4819	54678
81	4898	54842
82	4957	54768
83	5022	54764
84	5064	54519
85	5129	54518
86	5187	54434
87	5232	54229
88	5288	54130
89	5379	54388
90	5440	54348
91	5495	54242
92	5551	54137
93	5616	54132
94	5676	54071
95	5727	53930
96	5790	53904
97	5901	54318
98	5988	54501
99	6057	54517
100	6131	54579
101	6195	54540
102	6252	54451
103	6313	54392
104	6375	54341
105	6444	54352
106	6511	54344
107	6590	54432
108	6690	54690
109	6785	54902
110	6846	54835
111	6912	54808
112	6967	54693
113	7027	54616
114	7110	54720
115	7165	54609
116	7225	54532
117	7277	54399
118	7374	54594
119	7457	54687
120	7518	54617
121	7574	54508
122	7645	54513
123	7744	54714
124	7833	54834
125	7908	54859
126	7959	54715
127	8026	54682
128	8088	54613
129	8174	54707
130	8247	54707
131	8300	54583
132	8351	54438
133	8419	54411
134	8477	54318
135	8519	54124
136	8585	54085
137	8654	54056
138	8739	54131
139	8793	54016
140	8864	54003
141	8947	54064
142	9026	54092
143	9107	54140
144	9174	54096
145	9250	54106
146	9300	53966
147	9380	53998
148	9438	53908
149	9509	53887
150	9559	53750
151	9605	53585
152	9674	53555
153	9722	53410
154	9772	53276
155	9817	53117
156	9873	53016
157	9967	53115
158	10013	52963
159	10086	52956
160	10133	52808
161	10205	52792
162	10305	52920
163	10378	52904
164	10425	52757
165	10468	52596
166	10519	52472
167	10572	52360
168	10677	52503
169	10731	52392
170	10807	52392
171	10877	52364
172	10940	52301
173	10975	52103
174	11053	52111
175	11123	52077
176	11180	51986
177	11229	51855
178	11300	51832
179	11355	51732
180	11421	51679
181	11468	51546
182	11541	51527
183	11583	51368
184	11682	51465
185	11747	51413
186	11799	51299
187	11874	51286
188	11922	51158
189	11974	51048
190	12026	50938
191	12071	50799
192	12145	50785
193	12192	50655
194	12247	50562
195	12354	50679
196	12410	50588
197	12499	50628
198	12570	50598
199	12630	50520
200	12717	50551
201	12767	50436
202	12840	50411
203	12912	50385
204	12987	50367
205	13045	50283
206	13090	50149
207	13147	50062
208	13223	50045
209	13306	50057
210	13377	50023
211	13442	49967
212	13523	49966
213	13576	49863
214	13657	49867
215	13720	49801
216	13774	49704
217	13851	49687
218	13905	49591
219	13996	49623
220	14080	49631
221	14147	49579
222	14206	49498
223	14254	49380
224	14308	49283
225	14392	49289
226	14452	49216
227	14541	49235
228	14591	49125
229	14653	49057
230	14721	49008
231	14791	48965
232	14850	48887
233	14910	48811
234	14979	48763
235	15044	48701
236	15117	48670
237	15210	48699
238	15299	48716
239	15339	48575
240	15391	48472
241	15462	48430
242	15516	48338
243	15565	48226
244	15631	48169
245	15704	48135
246	15771	48080
247	15815	47957
248	15866	47853
249	15951	47854
250	16008	47771
251	16071	47705
252	16124	47607
253	16180	47521
254	16245	47463
255	16310	47402
256	16385	47370
257	16444	47293
258	16514	47246
259	16584	47201
260	16650	47143
261	16711	47072
262	16790	47051
263	16860	47004
264	16916	46920
265	16989	46879
266	17058	46831
267	17112	46739
268	17185	46701
269	17240	46612
270	17278	46481
271	17341	46414
272	17386	46299
273	17454	46247
274	17530	46216
275	17585	46130
276	17646	46058
277	17701	45971
278	17763	45905
279	17823	45831
280	17890	45776
281	17951	45705
282	17991	45583
283	18048	45503
284	18112	45440
285	18175	45375
286	18252	45344
287	18311	45268
288	18358	45165
289	18409	45071
290	18465	44989
291	18511	44884
292	18573	44816
293	18640	44761
294	18748	44805
295	18810	44739
296	18883	44698
297	18944	44627
298	18991	44524
299	19051	44453
300	19106	44370
301	19152	44266
302	19230	44237
303	19313	44218
304	19358	44110
305	19439	44087
306	19509	44040
307	19590	44015
308	19650	43944
309	19718	43889
310	19778	43817
311	19849	43771
312	19896	43670
313	19968	43624
314	20022	43541
315	20070	43444
316	20157	43431
317	20216	43357
318	20275	43284
319	20336	43215
320	20411	43175
321	20484	43130
322	20542	43055
323	20604	42989
324	20664	42918
325	20723	42846
326	20792	42793
327	20857	42732
328	20904	42635
329	21031	42701
330	21087	42620
331	21173	42602
332	21245	42554
333	21310	42493
334	21371	42424
335	21464	42417
336	21551	42399
337	21613	42330
338	21665	42245
339	21726	42175
340	21791	42113
341	21855	42049
342	21910	41967
343	21964	41885
344	22016	41800
345	22088	41751
346	22141	41666
347	22199	41592
348	22268	41538
349	22334	41478
350	22391	41401
351	22457	41341
352	22503	41245
353	22566	41180
354	22622	41103
355	22685	41038
356	22734	40947
357	22793	40875
358	22844	40789
359	22891	40695
360	22944	40612
361	23009	40553
362	23071	40486
363	23128	40411
364	23192	40348
365	23274	40317
366	23322	40226
367	23390	40170
368	23449	40099
369	23495	40006
370	23543	39916
371	23594	39831
372	23651	39757
373	23707	39681
374	23760	39600
375	23815	39524
376	23881	39463
377	23963	39431
378	24024	39364
379	24087	39300
380	24153	39242
381	24212	39171
382	24275	39106
383	24330	39030
384	24384	38951
385	24430	38861
386	24497	38804
387	24557	38734
388	24617	38666
389	24667	38583
390	24714	38494
391	24785	38443
392	24850	38381
393	24906	38307
394	24975	38253
395	25042	38195
396	25093	38114
397	25134	38017
398	25208	37970
399	25276	37915
400	25334	37843
401	25385	37762
402	25456	37710
403	25509	37632
404	25578	37578
405	25644	37519
406	25714	37466
407	25771	37393
408	25824	37316
409	25890	37256
410	25957	37200
411	26038	37162
412	26089	37080
413	26135	36994
414	26196	36927
415	26246	36845
416	26311	36786
417	26379	36728
418	26428	36646
419	26489	36580
420	26538	36498
421	26602	36436
422	26648	36350
423	26698	36270
424	26746	36186
425	26794	36103
426	26876	36065
427	26945	36011
428	27014	35955
429	27069	35882
430	27128	35814
431	27183	35741
432	27216	35639
433	27279	35575
434	27341	35511
435	27408	35454
436	27482	35406
437	27537	35334
438	27601	35272
439	27656	35199
440	27714	35130
441	27764	35051
442	27817	34976
443	27881	34914
444	27930	34834
445	27996	34775
446	28049	34701
447	28102	34626
448	28162	34559
449	28229	34502
450	28291	34438
451	28349	34370
452	28408	34303
453	28475	34245
454	28520	34161
455	28585	34102
456	28631	34019
457	28676	33935
458	28746	33882
459	28815	33827
460	28859	33742
461	28917	33674
462	28988	33621
463	29044	33551
464	29109	33491
465	29171	33428
466	29240	33373
467	29306	33314
468	29373	33256
469	29438	33196
470	29497	33129
471	29548	33053
472	29613	32994
473	29683	32939
474	29726	32856
475	29792	32796
476	29852	32731
477	29911	32664
478	29964	32591
479	30026	32529
480	30080	32456
481	30149	32401
482	30219	32346
483	30290	32293
484	30338	32214
485	30388	32139
486	30449	32075
487	30516	32017
488	30567	31943
489	30611	31861
490	30692	31818
491	30744	31744
492	30808	31683
493	30882	31632
494	30950	31575
495	31020	31521
496	31073	31448
497	31126	31376
498	31201	31326
499	31254	31254
500	31326	31201
501	31396	31146
502	31432	31057
503	31486	30986
504	31547	30922
505	31599	30849
506	31680	30805
507	31787	30786
